State,Census_Year,Census_Source,Census_Dataset,Census_Table,Population_Universe,Geography_Type,Geography_ID,Geography_Name,Population_18Plus,Hispanic_Latino_18Plus,Not_Hispanic_18Plus,Not_Hispanic_White_18Plus,Not_Hispanic_Black_18Plus,Not_Hispanic_AIAN_18Plus,Not_Hispanic_Asian_18Plus,Not_Hispanic_NHPI_18Plus,Not_Hispanic_Other_Race_18Plus,Not_Hispanic_TwoPlus_Races_18Plus
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48073,Cherokee County,37887,7472,30415,24051,4917,117,208,7,72,1043
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48075,Childress County,5318,1461,3857,3116,523,20,40,0,8,150
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48077,Clay County,8144,394,7750,7247,28,67,46,0,22,340
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48079,Cochran County,1817,1019,798,709,57,2,0,0,0,30
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48081,Coke County,2634,471,2163,2036,7,15,1,6,2,96
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48083,Coleman County,6165,815,5350,4994,111,33,25,0,21,166
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48085,Collin County,786838,112750,674088,425932,77643,2770,136123,485,3169,27966
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48087,Collingsworth County,1988,520,1468,1309,88,18,7,1,0,45
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48089,Colorado County,16093,4026,12067,9930,1729,12,67,0,30,299
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48091,Comal County,126535,30300,96235,86680,2886,415,1498,108,522,4126
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48093,Comanche County,10566,2506,8060,7677,25,38,33,1,19,267
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48095,Concho County,2851,815,2036,1885,66,9,19,0,13,44
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48097,Cooke County,31523,5132,26391,23797,863,244,247,10,83,1147
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48099,Coryell County,62606,11259,51347,36642,9008,321,1551,664,225,2936
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48101,Cottle County,1097,226,871,764,69,2,0,1,0,35
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48103,Crane County,3351,2087,1264,1130,55,14,21,0,0,44
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48105,Crockett County,2394,1416,978,902,14,6,7,0,6,43
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48107,Crosby County,3812,1873,1939,1760,92,3,11,0,6,67
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48109,Culberson County,1721,1252,469,396,20,9,18,0,2,24
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48111,Dallam County,5022,2447,2575,2374,58,34,10,3,10,86
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48113,Dallas County,1972578,722471,1250107,622696,426479,5406,141601,922,6952,46051
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48115,Dawson County,9450,4733,4717,3754,790,16,46,4,15,92
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48123,DeWitt County,15418,4826,10592,8969,1239,32,59,2,32,259
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48117,Deaf Smith County,12949,9156,3793,3472,77,42,28,0,36,138
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48119,Delta County,4081,252,3829,3361,238,32,26,5,12,155
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48121,Denton County,678416,122901,555515,385461,70428,2752,68255,484,2691,25444
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48125,Dickens County,1369,339,1030,969,15,0,1,0,6,39
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48127,Dimmit County,6308,5387,921,746,59,6,58,6,7,39
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48129,Donley County,2591,232,2359,2089,121,26,10,1,2,110
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48131,Duval County,7512,5963,1549,819,145,12,41,0,7,525
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48133,Eastland County,13986,1953,12033,11156,288,68,76,15,18,412
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48135,Ector County,119460,68159,51301,40953,5520,467,1775,198,318,2070
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48137,Edwards County,1140,528,612,570,2,5,6,1,2,26
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48141,El Paso County,644962,524130,120832,81341,18993,1855,8930,1084,1557,7072
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48139,Ellis County,140984,33562,107422,83519,17079,555,1172,142,547,4408
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48143,Erath County,33837,6339,27498,24826,1086,170,256,13,82,1065
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48145,Falls County,13446,2791,10655,7321,2909,49,47,8,29,292
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48147,Fannin County,28127,2816,25311,21882,1894,241,125,20,71,1078
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48149,Fayette County,19396,3423,15973,14404,1017,45,57,0,49,401
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48151,Fisher County,2862,689,2173,2010,72,15,13,2,11,50
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48153,Floyd County,3929,2023,1906,1736,92,3,6,1,4,64
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48155,Foard County,899,136,763,727,11,0,0,1,0,24
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48157,Fort Bend County,596993,135560,461433,187278,121625,893,134577,209,2565,14286
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48159,Franklin County,8023,967,7056,6343,273,39,46,6,32,317
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48161,Freestone County,15292,2086,13206,10431,2275,63,44,6,40,347
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48163,Frio County,13825,10302,3523,2534,654,24,178,5,48,80
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48165,Gaines County,14135,5544,8591,8136,173,30,50,3,23,176
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48167,Galveston County,267382,60159,207223,155020,32289,868,9707,182,1023,8134
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48169,Garza County,4789,2701,2088,1798,187,16,20,0,10,57
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48171,Gillespie County,21921,3944,17977,17137,62,58,109,1,77,533
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48173,Glasscock County,844,267,577,564,8,0,0,3,0,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48175,Goliad County,5500,1633,3867,3505,186,14,24,0,8,130
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48177,Gonzales County,14689,6585,8104,6868,852,37,50,6,31,260
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48179,Gray County,16102,4097,12005,10552,719,109,105,0,28,492
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48181,Grayson County,103923,12990,90933,77134,5650,1375,1477,48,240,5009
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48183,Gregg County,94003,15040,78963,55477,18665,335,1269,39,184,2994
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48185,Grimes County,23045,5011,18034,14091,3100,59,86,4,60,634
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48187,Guadalupe County,128222,44169,84053,66985,9198,364,2508,252,501,4245
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48189,Hale County,24143,13372,10771,8928,1138,86,123,24,54,418
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48191,Hall County,2199,617,1582,1379,141,7,5,0,2,48
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48193,Hamilton County,6491,678,5813,5506,22,33,33,2,15,202
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48195,Hansford County,3776,1656,2120,2019,12,16,8,3,15,47
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48197,Hardeman County,2740,516,2224,1998,107,13,16,0,7,83
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48199,Hardin County,42632,2150,40482,36260,2284,151,312,29,98,1348
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48201,Harris County,3519584,1405353,2114231,1075663,658135,6410,277152,2314,15685,78872
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48203,Harrison County,51865,6012,45853,33128,10328,243,366,28,198,1562
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48205,Hartley County,4222,1219,3003,2700,186,9,21,2,0,85
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48207,Haskell County,4332,997,3335,3005,159,23,16,5,16,111
