State,Census_Year,Census_Source,Census_Dataset,Census_Table,Population_Universe,Geography_Type,Geography_ID,Geography_Name,Population_18Plus,Hispanic_Latino_18Plus,Not_Hispanic_18Plus,Not_Hispanic_White_18Plus,Not_Hispanic_Black_18Plus,Not_Hispanic_AIAN_18Plus,Not_Hispanic_Asian_18Plus,Not_Hispanic_NHPI_18Plus,Not_Hispanic_Other_Race_18Plus,Not_Hispanic_TwoPlus_Races_18Plus
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4805984,Bay City city,13126,5840,7286,4836,1995,47,158,1,30,219
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806060,Bayou Vista city,1618,126,1492,1387,10,6,28,0,10,51
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806104,Bayside town,226,72,154,144,1,3,0,0,1,5
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806128,Baytown city,61186,27869,33317,20161,9834,184,1205,34,419,1480
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806140,Bayview town,357,140,217,196,1,0,8,0,3,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806200,Beach City city,2476,287,2189,2039,29,9,23,0,12,77
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806244,Bear Creek Ranch CDP,1233,141,1092,38,1018,2,10,0,0,24
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806242,Bear Creek village,312,17,295,279,0,0,7,0,0,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4806272,Beasley city,435,229,206,166,29,2,1,0,0,8
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807000,Beaumont city,87148,13602,73546,28032,39560,174,3430,24,348,1978
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807036,Beauxart Gardens CDP,854,92,762,710,5,0,13,0,4,30
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807042,Beaver Creek CDP,669,182,487,420,17,6,4,0,0,40
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807108,Beckville city,494,48,446,313,126,0,0,0,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807132,Bedford city,40054,5917,34137,25839,4081,151,2121,274,143,1528
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807144,Bedias city,284,36,248,178,44,2,0,0,2,22
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807156,Bee Cave city,6889,831,6058,4727,195,1,828,1,45,261
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807192,Beeville city,9893,6959,2934,2323,315,14,117,1,22,142
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807300,Bellaire city,12484,1218,11266,7786,202,23,2865,9,49,332
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807396,Bellevue city,229,2,227,212,2,3,1,0,0,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807408,Bellmead city,7496,2827,4669,2992,1400,27,40,2,15,193
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807420,Bells town,1078,60,1018,918,13,15,3,5,1,63
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807432,Bellville city,3199,564,2635,2170,351,16,39,0,3,56
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807486,Belterra CDP,4007,483,3524,3114,51,7,185,3,7,157
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807492,Belton city,17893,4894,12999,10346,1582,53,302,21,63,632
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807516,Ben Arnold CDP,96,26,70,59,8,1,1,0,0,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807540,Ben Bolt CDP,1266,1118,148,135,3,2,1,0,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807708,Ben Wheeler CDP,360,65,295,274,2,5,0,2,0,12
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807528,Benavides city,936,892,44,32,0,0,3,0,0,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807552,Benbrook city,19453,2559,16894,14322,1221,75,422,19,52,783
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807642,Benjamin Perez CDP,19,19,0,0,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807636,Benjamin city,145,13,132,126,1,0,1,0,0,4
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807852,Berryville town,643,28,615,564,27,2,5,0,1,16
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4807864,Bertram city,1235,296,939,851,14,7,13,0,9,45
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808104,Beverly Hills city,1339,785,554,376,141,5,0,0,2,30
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808128,Bevil Oaks city,821,122,699,601,69,5,4,0,0,20
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808212,Big Lake city,2082,1356,726,631,29,6,16,1,2,41
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808224,Big Sandy town,922,37,885,703,129,8,2,1,0,42
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808236,Big Spring city,20367,10481,9886,8002,1071,137,256,8,36,376
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808240,Big Thicket Lake Estates CDP,406,20,386,363,2,3,0,0,2,16
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808260,Big Wells city,340,314,26,25,1,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808164,Bigfoot CDP,393,141,252,239,4,0,0,0,0,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808398,Bishop Hills town,171,12,159,143,1,1,1,0,3,10
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808392,Bishop city,2289,1590,699,612,20,10,17,0,7,33
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808404,Bivins CDP,131,5,126,98,20,0,1,0,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808410,Bixby CDP,259,229,30,24,0,0,3,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808488,Blackwell city,207,10,197,183,1,3,0,1,0,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808536,Blanco city,1339,386,953,900,13,2,6,0,4,28
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808596,Blanket town,298,44,254,245,0,2,1,0,1,5
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808644,Bledsoe CDP,39,23,16,16,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808668,Blessing CDP,623,369,254,229,11,0,0,0,5,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808752,Bloomburg town,245,5,240,207,24,4,1,0,0,4
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808788,Blooming Grove town,626,35,591,532,17,2,5,4,3,28
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808800,Bloomington CDP,1466,1063,403,290,84,0,3,0,7,19
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808812,Blossom city,1053,76,977,895,28,16,4,0,1,33
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808830,Blue Berry Hill CDP,611,518,93,86,3,0,2,0,1,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808860,Blue Mound city,1742,986,756,647,39,1,19,10,3,37
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808872,Blue Ridge city,797,219,578,526,3,5,1,0,1,42
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808908,Bluetown CDP,351,317,34,29,0,1,0,0,1,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4808932,Bluff Dale CDP,116,4,112,103,0,1,0,0,1,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809004,Blum town,285,27,258,240,0,5,1,0,0,12
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809160,Boerne city,13106,3024,10082,9363,127,50,152,13,53,324
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809172,Bogata city,821,39,782,715,15,15,2,0,0,35
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809232,Boling CDP,700,385,315,237,57,1,3,0,0,17
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809250,Bolivar Peninsula CDP,2445,222,2223,2096,16,18,20,3,7,63
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809310,Bonanza Hills CDP,46,43,3,3,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809328,Bonham city,8544,1340,7204,5498,1360,60,66,6,8,206
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809388,Bonney village,137,43,94,59,28,0,1,0,0,6
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809448,Booker town,1023,562,461,434,3,5,1,0,0,18
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809556,Borger city,9171,2535,6636,5760,302,138,58,2,21,355
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809598,Botines CDP,108,105,3,3,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809628,Bovina city,1163,977,186,168,15,0,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809640,Bowie city,4038,561,3477,3224,10,30,28,2,6,177
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809656,Box Canyon CDP,29,8,21,19,0,1,0,0,0,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809748,Boyd town,1058,163,895,821,7,15,4,0,4,44
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809796,Boys Ranch CDP,50,8,42,34,5,0,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809868,Brackettville city,1011,722,289,243,23,6,0,2,0,15
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4809916,Brady city,3911,1325,2586,2401,68,5,29,0,4,79
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810072,Brazoria city,2172,411,1761,1420,234,12,13,2,5,75
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810084,Brazos CDP,80,13,67,64,0,0,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810090,Brazos Country city,438,33,405,395,7,1,0,0,0,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810132,Breckenridge city,3759,1083,2676,2436,70,11,33,1,18,107
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810144,Bremond city,651,45,606,442,126,0,13,0,0,25
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810156,Brenham city,13543,2366,11177,7462,2985,28,345,14,42,301
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810192,Briar CDP,5490,559,4931,4541,51,32,37,1,14,255
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810197,Briarcliff village,1600,129,1471,1382,4,6,18,0,7,54
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810216,Briaroaks city,423,32,391,375,0,2,3,0,0,11
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810252,Bridge City city,7001,646,6355,5856,53,35,207,0,8,196
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810264,Bridgeport city,4271,1801,2470,2148,145,16,44,0,3,114
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810276,Briggs CDP,87,16,71,67,0,1,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810336,Bristol CDP,575,81,494,449,21,0,5,0,0,19
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810384,Broaddus town,142,9,133,130,0,0,0,0,0,3
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810528,Bronte town,722,182,540,524,0,1,1,1,1,12
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810636,Brookshire city,3601,1831,1770,655,987,23,28,1,8,68
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810648,Brookside Village city,1182,534,648,504,85,4,26,0,0,29
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810660,Brookston CDP,65,0,65,46,16,0,0,0,1,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810708,Browndell city,121,0,121,57,60,0,1,1,0,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810720,Brownfield city,6562,3664,2898,2408,344,19,32,0,14,81
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810756,Brownsboro city,880,141,739,655,36,5,3,0,4,36
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810768,Brownsville city,132930,123755,9175,7317,314,67,881,18,179,399
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810780,Brownwood city,14222,3573,10649,9325,702,33,105,27,42,415
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810828,Bruceville-Eddy city,1098,162,936,837,20,3,11,0,0,65
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810852,Brundage CDP,10,10,0,0,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810876,Bruni CDP,196,180,16,15,1,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810897,Brushy Creek CDP,16322,2453,13869,10117,796,30,2136,7,78,705
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810912,Bryan city,64085,22059,42026,28639,9458,81,1814,68,263,1703
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810960,Bryson city,325,25,300,287,0,3,2,0,0,8
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810984,Buchanan Dam CDP,1346,73,1273,1205,4,4,12,0,1,47
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4810990,Buchanan Lake Village CDP,607,24,583,543,0,6,3,0,3,28
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811020,Buckholts town,254,115,139,125,1,0,1,0,3,9
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811080,Buda city,10765,3518,7247,6294,320,28,206,0,39,360
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811102,Buena Vista CDP,58,55,3,3,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811128,Buffalo Gap town,414,25,389,364,2,1,2,0,0,20
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811155,Buffalo Springs village,403,46,357,340,0,0,0,0,1,16
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811116,Buffalo city,1264,414,850,655,135,7,16,3,0,34
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811212,Bullard town,2263,163,2100,1890,82,14,23,0,7,84
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811224,Bulverde city,4609,943,3666,3412,32,16,36,4,19,147
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811236,Buna CDP,1647,70,1577,1347,172,0,6,0,4,48
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811300,Bunker Hill Village city,2787,190,2597,2054,7,5,437,0,3,91
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811368,Burkburnett city,8183,749,7434,6633,248,86,69,5,21,372
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811380,Burke city,510,116,394,363,15,2,4,3,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811428,Burleson city,34396,4799,29597,25885,1409,187,551,26,140,1399
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811440,Burlington CDP,64,21,43,42,0,1,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811464,Burnet city,5060,1029,4031,3634,138,12,66,0,25,156
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811536,Burton city,238,7,231,187,26,2,1,0,3,12
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811572,Bushland CDP,1539,165,1374,1295,7,6,6,0,2,58
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811626,Butterfield CDP,81,73,8,7,0,0,0,0,0,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811644,Byers city,348,20,328,289,1,9,3,0,2,24
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811656,Bynum town,122,12,110,101,6,2,0,0,0,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811692,Cactus city,2070,1484,586,84,294,1,184,0,12,11
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811716,Caddo Mills city,1051,103,948,873,39,5,0,0,2,29
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811725,Cade Lakes CDP,388,103,285,265,5,2,0,0,0,13
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811836,Caldwell city,3006,820,2186,1700,388,11,21,0,6,60
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811940,Callender Lake CDP,913,46,867,812,16,1,0,0,0,38
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811968,Callisburg city,237,12,225,217,0,1,1,0,0,6
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4811992,Calvert city,765,87,678,291,361,3,4,0,2,17
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812010,Camargito CDP,224,222,2,0,1,0,0,0,0,1
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812045,Cameron Park CDP,4175,4111,64,51,3,3,5,0,0,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812040,Cameron city,4010,1290,2720,1872,751,8,17,2,6,64
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812334,Camp Swift CDP,5849,3212,2637,2091,396,24,22,0,10,94
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812388,Camp Wood city,409,141,268,252,1,0,2,0,0,13
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812112,Campbell city,427,36,391,362,14,3,0,0,0,12
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812226,Campo Verde CDP,87,87,0,0,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812412,Canadian city,1623,577,1046,983,0,7,3,0,4,49
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812472,Caney City town,179,4,175,120,44,4,1,0,0,6
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812496,Canton city,3176,230,2946,2700,92,15,44,4,4,87
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812502,Cantu Addition CDP,131,114,17,14,0,0,3,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812508,Canutillo CDP,4632,4127,505,356,69,8,33,0,16,23
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812562,Canyon Creek CDP,957,106,851,792,7,0,5,0,9,38
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812580,Canyon Lake CDP,25564,4012,21552,19835,279,94,174,19,141,1010
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812532,Canyon city,11811,2214,9597,8429,486,96,152,6,49,379
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812600,Cape Royale CDP,598,17,581,547,15,2,1,0,3,13
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812736,Carbon town,206,45,161,150,0,2,1,0,0,8
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812895,Carl's Corner town,162,77,85,67,5,1,1,1,0,10
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812892,Carlsbad CDP,506,110,396,339,39,2,5,0,1,10
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812904,Carlton CDP,77,10,67,64,0,1,0,0,0,2
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812916,Carmine city,193,16,177,166,4,0,0,0,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812982,Carrizo Hill CDP,388,368,20,20,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4812988,Carrizo Springs city,3521,3116,405,278,55,6,37,1,7,21
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813024,Carrollton city,104791,29533,75258,43156,10150,343,18127,60,330,3092
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813075,Carter CDP,1191,196,995,888,6,7,6,1,11,76
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813108,Carthage city,5029,640,4389,3227,972,11,52,2,7,118
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813128,Casa Blanca CDP,42,42,0,0,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813150,Casas CDP,24,24,0,0,0,0,0,0,0,0
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813198,Cashion Community city,220,22,198,184,3,0,4,0,0,7
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813276,Castle Hills city,3204,1404,1800,1588,53,1,72,1,11,74
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813312,Castroville city,2281,881,1400,1325,18,7,16,1,3,30
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,Place,4813324,Catarina CDP,64,55,9,9,0,0,0,0,0,0
